trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.9, 'e': 0.6556592205741436}",20,0,-27.10485238473692,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.9, 'e': 0.6491026283684022}",30,12,-11.703059233541701,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.9, 'e': 0.6426116020847181}",20,0,-85.47053389763758,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
45,False,"{'a': 0.9, 'e': 0.6361854860638709}",20,5,-0.35231072182608836,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.9, 'e': 0.6298236312032323}",20,10,4.523912022180814,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.6235253948912}",30,0,-180.9010203287588,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
48,False,"{'a': 0.9, 'e': 0.617290140942288}",25,0,-138.92683929047527,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
49,False,"{'a': 0.9, 'e': 0.611117239532865}",20,0,-103.35229457460368,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.9, 'e': 0.6050060671375364}",25,0,-27.864197313615893,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
51,False,"{'a': 0.9, 'e': 0.598956006466161}",25,0,-115.2617729986727,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
52,False,"{'a': 0.9, 'e': 0.5929664464014994}",30,4,-14.45678581867573,"{0: 20, 1: 4, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.9, 'e': 0.5870367819374844}",20,0,-68.48364474321164,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.9, 'e': 0.5811664141181095}",20,12,13.962697277201503,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.9, 'e': 0.5753547499769285}",20,3,-38.190681751005066,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
56,False,"{'a': 0.9, 'e': 0.5696012024771592}",25,0,-20.527240970709997,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
57,False,"{'a': 0.9, 'e': 0.5639051904523875}",20,0,-33.63282616740754,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.9, 'e': 0.5582661385478637}",20,6,-5.19206141501807,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.9, 'e': 0.5526834771623851}",20,9,-88.7868384180678,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
60,False,"{'a': 0.9, 'e': 0.5471566423907612}",25,0,-23.35628537794113,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
61,False,"{'a': 0.9, 'e': 0.5416850759668536}",25,15,6.805374198190834,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.9, 'e': 0.536268225207185}",30,10,-147.7447239728837,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",1
63,False,"{'a': 0.9, 'e': 0.5309055429551132}",25,6,-33.68099448517568,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.9, 'e': 0.525596487525562}",25,0,-87.5458672302826,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
65,False,"{'a': 0.9, 'e': 0.5203405226503064}",20,0,-112.73165117188542,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
66,False,"{'a': 0.9, 'e': 0.5151371174238033}",20,10,-11.246683883668947,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.9, 'e': 0.5099857462495653}",25,14,3.144467856960511,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.9, 'e': 0.5048858887870696}",25,8,-30.952873028992844,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.9, 'e': 0.4998370298991989}",20,0,-44.504533499564324,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
70,False,"{'a': 0.9, 'e': 0.49483865960020695}",25,0,-42.725914484877435,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.9, 'e': 0.4898902730042049}",25,15,-0.743730351730383,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.9, 'e': 0.48499137027416284}",25,0,-23.660430527907057,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
73,False,"{'a': 0.9, 'e': 0.4801414565714212}",30,16,-101.57551837376637,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 2}",1
74,False,"{'a': 0.9, 'e': 0.47534004200570695}",20,13,-10.320167851748021,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
